,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pieve di Cadore,,Tolmezzo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Domodossola,,,,,Menaggio,,,,,,Tirano,,,,,,,,,Feltre,Belluno,Vittorio,San Daniele del Friuli,Spilimbergo,Gemona,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Varallo,Pallanza,,,,Como,Erba Incino,,Clusone,,Sondrio,Iseo,Breno,,,,,,,,San Biagio di Callalta,Montebelluna,Oderzo,Conegliano,Pordenone,Udine,Cividale del Friuli,,,,,,,,,,,,,,,,,,,
,,,,,,,Borgomanero,Cossato,Oleggio,Gavirate,,Appiano,Cantù,Brivio,Lecco,Caprino Bergamasco,Zogno,Trescore Balneario,Chiari,Salò,,,,,Thiene,,Bassano,Castelfranco Veneto,Treviso,Mirano,San Vito al Tagliamento,Portogruaro,Palmanova,,,,,,,,,,,,,,,,,,,,
,,Aosta,,Verrès,,Ivrea,Biella,Biandrate,Novara,Gallarate,Varese,Rhò,Milano III,Desio,Vimercate,Monza,Bergamo,Martinengo,Leno,Brescia,,,,Schio,Vicenza,Marostica,Cittadella,Vigonza,Venezia II,,Venezia III,,,,,,,,,,,,,,,,,,,,,,
,,Ciriè,Lanzo Torinese,Caluso,Cuorgnè,Chivasco,Santhià,Crescentino,Vercelli,Cuggione,Busto Arsizio,Milano I,Milano V,Milano II,Milano IV,Gorgonzola,Treviglio,Soresina,Verolanuova,Lonato,Bardolino,,Valdagno,Lonigo,Este,Abano Bagni,Padova,Venezia I,,,,,,,,,,,,,,,,,,,,,,,,,
Susa,,Torino III,Torino I,Torino IV,Torino II,Torino V,Villadeati,Oviglio,Vignale,Casale Monferrato,Affori,Abbiategrasso,Pavia,Melegnano,Milano VI,Lodi,Crema,Cremona,Pescarolo ed Uniti,Castiglione delle Stiviere,Verona II,Verona I,Tregnago,Cologna Veneta,Montagnana,Piove di Saccoo,Chioggia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avigliana,Bricherasio,Pinerolo,Vigone,Carmagnola,Villanuova d’Asti,Asti,Nizza Monferrato,Alessandria,Valenza,Vigevano,Mortara,Sannazzaro de`Burgondi,Corte Olona,Borghetto Lodigiano,Castel San Giovanni,Codogne,Casalmaggiore,Borgo San Donnino,Bozzolo,Mantova,Isola della Scala,Legnago,Badia Polesine,Lendinara,Rovigo,Adria,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Barge,Saluzzo,Brà,Alba,Cherasco,Acqui,Cairo Montenotte,Pontedecimo,Capriata d’Orba,Tortona,Novi Ligure,Recco,Voghera,Stradella,Fiorenzuola d'Arda,Piacenza,Parma I,Borgotaro,Parma II,Guastalla,Gonzaga,Ostiglia,Cento,Portomaggiore,Ferrara,Comacchio,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dronero,Savigliano,Cuneo,Fossano,Ceva,Voltri,Savona,San Pier d’Arena,Genova II,Genova I,Genova III,,Rapallo,Bobbio,Levanto,Bettola,Langhirano,Castelnovo ne' Monti,Montechio Emilia,Reggio nell`Emilia,Correggio,Carpi,Mirandola,Castel Maggiore,Budrio,Ravenna I,Ravenna II,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Borgo San Dalmazzo,Oneglia,Mondovi,Albenga,,,,,,,,,Chiavari,Spezia,Pontremoli,Castelnuovo di Garfagnana,Borgo a Mozzano,Pavulo nel Frignano,Sassuolo,Modena,Persiceto,Bologna II,Imola,Lugo,Faenza,Cesena,Rimini,,,,,,,,,,,,,,,,,,,,,,,,
,,,San Remo,,Porto Maurizio,,,,,,,,,,,,Massa,Pietrasanta,Capannori,Pescia,Vergato,Bologna I,Bologna III,Rocca San Casciano,Borgo San Lorenzo,Forlì,Santarcangelo di Romagna,Urbino,Cagli,Fano,Pesaro,,,Ancona,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Lucca,Pisa,Prato in Toscana,Pistoja II,Pistoja I,Campi Bisenzio,Firenze II,Firenze IV,Pontassieve,Città di Castello,Spoleto,Perugia II,Foligno,Jesi,Senigallia,Osimo,Macerata,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Livorno I,Vicopisano,Empoli,Firenze I,Firenze III,San Casciano in Val di Pesa,Bibbiena,Arezzo,Perugia I,Rieti,Cittaducale,Terni,Camerino,Fabriano,Recanati,San Benedetto del Tronto,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Livorno II,Pontedera,San Miniato,Montevarchi,Cortona,Orvieto,Todi,Poggio Mirteto,San Demetrio ne`Vestini,Avezzano,Popoli,Montegiorgio,San Severino Marche,Fermo,Atri,Giulianova,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Volterra,Lari,Siena,Montepulciano,Tivoli,Monteflascone,Subiaco,Anagni,Frosinone,Aquila degli Abruzzi,Pescina,Ascoli Piceno,Teramo,Penne,Città Sant'Angelo,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Grosseto,Colle di Val d’Elsa,Montalcino,Viterbo,Roma II,Roma I,Roma III,Velletri,Capua,Ceccano,Sora,Sulmona,Piedimonte d’Alife,Gessopalena,Lanciano,Chieti,Ortona,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Scansano,Civitavecchia,,Roma V,Roma IV,Albano Laziale,Sessa Aurunca,Santa Maria Capua Vetere,Caserta,Teano,Pontecorvo,Cassino,Bojano,Agnone,Atessa,Palata,Vasto,Larino,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaeta,Acerra,Aversa,Napoli I,Afragola,Nola,Cerreto Sannita,Benevento,San Bartolomeo in Galdo,Isernia,Bajano,Campobasso,Ariano di Puglia,Riccia,San Severo,Sannicandro Garganico,,Manfredonia,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Napoli II,Casoria,Napoli IV,Napoli V,Napoli VII,Montesarchio,Napoli X,Mirabella Eclano,Avellino,Lacedonia,Sant`Angelo de`Lombardi,Lucera,Foggia,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Napoli III,Pozzuoli,,Napoli VI,Napoli VIII,Napoli IX,Napoli XI,Napoli XII,Atripalda,Melfi,Minervino Murge,Cerignola,,Modugno,Molfetta,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castellammare di Stabia,Torre Annunziata,Nocera Inferioro,Mercato San Severino,Campagna,Acerenza,Andria,Corato,Acquaviva delle Fonti,Conversano,Bari delle Puglie,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amalfi,Salerno,Capaccio,Montecorvino Rovella,Torchiara,Muro Lucano,Potenza,Bitonto,Matera,Altamura,Gioia dal Colle,Monopoli,Ostuni,,,,
,,,,,,,,,,,,,,,,Sassari,Tempio Pausania,Ozieri,,,,,,,,,,,,,,,,,,,,,,,Vallo della Lucania,Sala Consilina,Brienza,Tricarico,,,,Castellaneta,Taranto,Brindisi,Lecce,,
,,,,,,,,,,,,,,,,Macomer,Alghero,Nuoro,,,,,,,,,,,,,,,,,,,,,,,,Lagonegro,Chiaromonte,Corleto Perticara,,,,,,Manduria,Campi Salentina,Maglie,
,,,,,,,,,,,,,,,,Oristano,Isili,Lanusei,,,,,,,,,,,,,,,,,,,,,,,,,Verbicaro,Castrovillari,,,,,,,,Gallipoli,Tricase
,,,,,,,,,,,,,,,,Iglesias,Serramanna,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,Paola,Cassano al Jonio,Spezzano Grande,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogliano,Cosenza,Nicastro,Rossano,Cotrone,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiaravalle Centrale,Catanzaro,,Serrastretta,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropea,Monteleone di Calabria,Caulonia,Serra San Bruno,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bagnara Calabra,Palmi,Cittanova,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Palermo I,,,,,,,,,,,Milazzo,Messina II,Messina I,,Reggio di Calabria,Melito di Porto Salvo,Gerace Marina,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Trapani,Alcamo,Palermo II,Palermo IV,Palermo III,,Termini Imerese,Caccamo,Cefalù,Petralia Sottana,Mistretta,Naso,Francavilla di Sicilia,Patti,Castroreale,Giarre,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Marsala,,Calatafami,Castelvetrano,Partinico,Monreale,Corleone,Aragona,Prizzi,Caltanissetta,Castrogiovanni,Nicosia,Regalbuto,Bronte,Acireale,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Sciacca,Bivona,Girventi,Licata,Canicattì,Serradifalco,Piazza Armerina,Paterno,Militello in Val di Catania,Catania I,Catania II,Augusta,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terranova di Sicilia,Caltagirone,Comiso,Ragusa,Noto,Siracusa,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modica,,,,,,,,,,,,,,,,,,,
