id,collegi,provincia,partito politico 
001,Abano Bagni,Padova,monarchici
002,Abbiategrasso,Milano,radicali
003,Acerenza,Potenza,monarchici
004,Acerra,Caserta,monarchici
005,Acireale,Catania,monarchici
006,Acquaviva delle Fonti,Bari delle Puglie,monarchici
007,Acqui,Alessandria,radicali
008,Adria,Rovigo,radicali
009,Affori,Milano,clericali
010,Afragola,Napoli,monarchici
011,Agnone,Campobasso,monarchici
012,Alba,Cuneo,monarchici
013,Albano Laziale,Roma,monarchici
014,Albenga,Genova,monarchici
015,Alcamo,Trapani,monarchici
016,Alessandria,Alessandria,socialisti
017,Alghero,Sassari,monarchici
018,Altamura,Bari delle Puglie,monarchici
019,Amalfi,Salerno,monarchici
020,Anagni,Roma,monarchici
021,Ancona,Ancona,repubblicani
022,Andria,Bari delle Puglie,monarchici
023,Aosta,Torino,monarchici
024,Appiano,Como,monarchici
025,Aquila degli Abruzzi,Aquila degli Abruzzi,monarchici
026,Aragona,Girgenti,monarchici
027,Arezzo,Arezzo,monarchici
028,Ariano di Puglia,Avellino,monarchici
029,Ascoli Piceno,Ascoli Piceno,monarchici
030,Asti,Alessandria,monarchici
031,Atessa,Chieti,monarchici
032,Atri,Teramo,monarchici
033,Atripalda,Avellino,monarchici
034,Augusta,Siracusa,monarchici
035,Avellino,Avellino,radicali
036,Aversa,Caserta,monarchici
037,Avezzano,Aquila degli Abruzzi,monarchici
038,Avigliana,Torino,monarchici
039,Badia Polesine,Rovigo,socialisti
040,Bagnara Calabra,Reggio di Calabria,monarchici
041,Bajano,Avellino,monarchici
042,Bardolino,Verona,clericali
043,Barge,Cuneo,monarchici
044,Bari delle Puglie,Bari delle Puglie,radicali
045,Bassano,Vicenza,clericali
046,Belluno,Belluno,radicali
047,Benevento,Benevento,socialisti
048,Bergamo,Bergamo,monarchici
049,Bettola,Piacenza,monarchici
050,Biandrate,Novara,monarchici
051,Bibbiena,Arezzo,monarchici
052,Biella,Novara,socialisti
053,Bitonto,Bari delle Puglie,monarchici
054,Bivona,Girgenti,radicali
055,Bobbio,Pavia,monarchici
056,Bojano,Campobasso,radicali
057,Bologna I,Bologna,socialisti
058,Bologna II,Bologna,socialisti
059,Bologna III,Bologna,monarchici
060,Borghetto Lodigiano,Milano,monarchici
061,Borgo a Mozzano,Lucca,monarchici
062,Borgomanero,Novara,monarchici
063,Borgo San Dalmazzo,Cuneo,monarchici
064,Borgo San Donnino,Parma,socialisti
065,Borgo San Lorenzo,Firenze,monarchici
066,Borgotaro,Parma,monarchici
067,Bozzolo,Mantova,socialisti
068,Brà,Cuneo,monarchici
069,Breno,Brescia,clericali
070,Brescia,Brescia,monarchici
071,Bricherasio,Torino,radicali
072,Brienza,Potenza,radicali
073,Brindisi,Lecce,monarchici
074,Brivio,Como,monarchici
075,Bronte,Catania,monarchici
076,Budrio,Bologna,socialisti
077,Busto Arsizio,Milano,radicali
078,Caccamo,Palermo,monarchici
079,Cagli,Pesaro e Urbino,radicali
080,Cagliari,Cagliari,monarchici
081,Cairo Montenotte,Genova,monarchici
082,Calatafami,Trapani,radicali
083,Caltagirone,Catania,monarchici
084,Caltanissetta,Caltanissetta,monarchici
